,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
119,AL041992,ANDREW,19920823,2100.0,L,HU,25.4N,76.6W,140.0,923.0,,,,,,,,,,,,,1992,8,23,ANDREW,1992,8,48,1
120,AL051992,BONNIE,19920918,1800.0,,HU,34.3N,58.1W,65.0,988.0,,,,,,,,,,,,,1992,9,18,BONNIE,1992,9,0,0
121,AL061992,CHARLEY,19920923,1200.0,,HU,34.7N,34.5W,65.0,987.0,,,,,,,,,,,,,1992,9,23,CHARLEY,1992,9,0,0
122,AL101992,FRANCES,19921023,1800.0,,HU,28.7N,61.1W,65.0,986.0,,,,,,,,,,,,,1992,10,23,FRANCES,1992,10,0,0
123,AL051993,EMILY,19930826,1800.0,,HU,26.9N,61.7W,65.0,1004.0,,,,,,,,,,,,,1993,8,26,EMILY,1993,8,3,1
124,AL071993,FLOYD,19930909,1800.0,,HU,41.7N,58.3W,65.0,990.0,,,,,,,,,,,,,1993,9,9,FLOYD,1993,9,0,1
125,AL081993,GERT,19930920,2100.0,L,HU,21.2N,97.5W,85.0,970.0,,,,,,,,,,,,,1993,9,20,GERT,1993,9,0,0
126,AL091993,HARVEY,19930920,1800.0,,HU,35.6N,55.2W,65.0,990.0,,,,,,,,,,,,,1993,9,20,HARVEY,1993,9,0,0
127,AL041994,CHRIS,19940818,600.0,,HU,14.5N,46.8W,65.0,987.0,,,,,,,,,,,,,1994,8,18,CHRIS,1994,8,0,0
128,AL111994,FLORENCE,19941104,1800.0,,HU,28.1N,54.0W,65.0,990.0,,,,,,,,,,,,,1994,11,4,FLORENCE,1994,11,0,0
129,AL121994,GORDON,19941117,1800.0,,HU,31.5N,74.8W,65.0,981.0,,,,,,,,,,,,,1994,11,17,GORDON,1994,11,9,1
130,AL011995,ALLISON,19950604,1200.0,,HU,24.7N,86.2W,65.0,987.0,,,,,,,,,,,,,1995,6,4,ALLISON,1995,6,0,1
131,AL051995,ERIN,19950802,615.0,L,HU,27.7N,80.3W,75.0,984.0,,,,,,,,,,,,,1995,8,2,ERIN,1995,8,6,1
132,AL071995,FELIX,19950811,0.0,,HU,18.9N,52.4W,65.0,987.0,,,,,,,,,,,,,1995,8,11,FELIX,1995,8,8,1
133,AL091995,HUMBERTO,19950823,600.0,,HU,14.9N,38.3W,65.0,987.0,,,,,,,,,,,,,1995,8,23,HUMBERTO,1995,8,0,0
134,AL101995,IRIS,19950823,1800.0,,HU,15.0N,53.4W,75.0,991.0,,,,,,,,,,,,,1995,8,23,IRIS,1995,8,0,0
135,AL131995,LUIS,19950905,1200.0,L,HU,17.5N,61.7W,115.0,945.0,,,,,,,,,,,,,1995,9,5,LUIS,1995,8,8,1
136,AL151995,MARILYN,19950914,2100.0,L,HU,15.5N,61.3W,70.0,984.0,,,,,,,,,,,,,1995,9,14,MARILYN,1995,9,0,1
137,AL161995,NOEL,19950928,1800.0,,HU,15.2N,42.6W,65.0,987.0,,,,,,,,,,,,,1995,9,28,NOEL,1995,9,0,0
138,AL171995,OPAL,19951004,2200.0,L,HU,30.3N,87.1W,100.0,942.0,,,,,,,,,,,,,1995,10,4,OPAL,1995,10,13,1
